Time	Open	High	Low	Close	Volume
2008-12-17 00:00:00	88.69	89.21	87.125	87.275	572958	23
2008-12-18 00:00:00	87.275	90.015	87.25	89.515	436864	23
2008-12-19 00:00:00	89.515	89.84	88.41	89.29	533803	24
2008-12-21 00:00:00	89.095	89.56	89.09	89.515	11604	43
2008-12-22 00:00:00	89.505	90.465	89.505	90.15	500411	21
2008-12-23 00:00:00	90.16	90.975	89.855	90.865	235494	40
2008-12-24 00:00:00	90.865	90.895	90.22	90.415	224321	40
2008-12-25 00:00:00	90.35	90.51	90.295	90.495	1261	130
2008-12-26 00:00:00	90.5	90.825	90.31	90.755	113351	48
2008-12-28 00:00:00	90.66	90.71	90.555	90.625	8602	100
2008-12-29 00:00:00	90.625	90.75	89.75	90.655	251011	32
2008-12-30 00:00:00	90.645	90.965	90.005	90.3	273479	25
2008-12-31 00:00:00	90.3	90.925	90.1	90.925	160606	16
2009-01-01 00:00:00	90.72	90.905	90.595	90.64	4276	79
2009-01-02 00:00:00	90.64	92.405	90.64	91.78	240304	57
2009-01-04 00:00:00	91.905	92.185	91.805	92.07	13278	70
2009-01-05 00:00:00	92.065	93.585	91.795	93.22	673960	20
2009-01-06 00:00:00	93.22	94.63	92.83	93.385	702923	21
2009-01-07 00:00:00	93.38	94.13	92.33	92.735	550003	17
2009-01-08 00:00:00	92.735	92.925	90.84	91.375	673969	22
2009-01-09 00:00:00	91.385	91.655	90.15	90.375	618822	25
2009-01-11 00:00:00	90.095	90.195	89.905	90.135	13753	66
2009-01-12 00:00:00	90.13	90.26	88.875	89.43	410215	17
2009-01-13 00:00:00	89.435	89.875	88.785	89.37	595870	20
2009-01-14 00:00:00	89.37	89.965	88.6	89.13	566463	17
2009-01-15 00:00:00	89.135	90.025	88.47	89.965	575881	18
2009-01-16 00:00:00	89.97	90.91	89.83	90.7	593184	18
2009-01-18 00:00:00	90.955	91.29	90.95	91.2	22706	50
2009-01-19 00:00:00	91.2	91.235	90.145	90.635	467497	14
2009-01-20 00:00:00	90.635	90.97	89.67	89.82	512949	15
2009-01-21 00:00:00	89.82	90.155	87.085	89.05	411064	13
2009-01-22 00:00:00	89.05	89.55	88.065	89.14	425128	21
