timestamp,LINAUSDT-GTCUSDT,LITUSDT-TLMUSDT,ONEUSDT-DENTUSDT,QTUMUSDT-STEEMUSDT,ICXUSDT-NKNUSDT,FLOWUSDT-OXTUSDT,AXSUSDT-DODOXUSDT,OGNUSDT-LUNA2USDT,KAVAUSDT-SKLUSDT,BCHUSDT-JTOUSDT,SNXUSDT-HFTUSDT,EOSUSDT-ZILUSDT
2024-01-11,-4.968797649241706,3.9731674408164888,2.697949105115706,2.618325936239236,0.756687006361533,2.1822799879049524,3.8114439297126648,-1.3575455022066443,2.1825806569425086,4.873562283805767,2.3272713555918783,3.529814759484249
2024-01-12,-4.9557943783966705,3.9809744938945446,2.652946441775925,2.6204789808540663,0.7456777786834041,2.162665442641165,3.7598534158481023,-1.3601610849473178,2.1621968263599465,4.879018235051316,2.3681552572034947,3.566397175237306
2024-01-13,-4.957159139295945,3.98995407720758,2.6428449815257338,2.5875972220644794,0.7476279240112407,2.1702512256273967,3.769081156938455,-1.4779795749904099,2.159167043505552,4.632031098889857,2.3747728553775165,3.54883338046822
2024-01-14,-4.936557665891194,4.004091691308299,2.630838457101384,2.5969893242096744,0.7448105369371014,2.1747023399873973,3.7649465233352273,-1.4871413129893474,2.1643954640981207,4.576397862365826,2.361006468980068,3.554273370359648
2024-01-15,-4.938027564910238,3.9897964414328397,2.6405679039206253,2.596739679951444,0.7692570905318128,2.187021333465715,3.7484452068497793,-1.457606944365479,2.168340238306224,4.64924206631785,2.3343610596977475,3.5784930291126567
2024-01-16,-4.9535426027104075,3.972187132381588,2.640420487394966,2.5807644015066544,0.7736785845597451,2.193994505521826,3.7676406237666646,-1.4653985422111626,2.1851917942701693,4.5740641500114565,2.2832410761163606,3.519545092846793
2024-01-17,-4.916526947231604,3.983996505053235,2.6316818352148355,2.570652490410326,0.7724694271072172,2.1776721421531446,3.706362416894284,-1.4820674219584422,2.206685159244445,4.5563371191822855,2.3123849754270562,3.500017651639372
2024-01-18,-4.902968381603025,3.9924814270964455,2.62728304320294,2.5765471007033627,0.777492499289099,2.189828915860921,3.724538067488446,-1.4829652232122323,2.2086494138770125,4.701116009424022,2.3142496487589765,3.508416633914607
2024-01-19,-4.898865505663324,4.033284305460854,2.6299521501790064,2.5522153103505216,0.7692485649794774,2.1840301545590806,3.772129128228599,-1.4468811048658299,2.214914054292703,4.653438552415188,2.2390716872717196,3.5265818492449625
2024-01-20,-4.987254003094754,4.039882990023687,2.640535923876171,2.56962127082228,0.71708834245787,2.130386697933372,3.7698979971028335,-1.4027330874630506,2.2622384808615346,4.6913943365410224,2.261016838764864,3.500606861217421
2024-01-21,-5.037282327096509,4.123592991348333,2.6722803171066625,2.5811447193725794,0.7313854293971227,2.0999280943293606,3.795781197921696,-1.3509206540152379,2.2583827820871614,4.720860558640162,2.2158533971697127,3.5060950414913066
2024-01-22,-5.059832375870489,4.067215894833848,2.652077042823562,2.600971261061771,0.6680790537667416,2.102801709036429,3.7933072123357343,-1.3230224645975124,2.2850446624520013,4.76470804121482,2.273035389892178,3.5255782219990115
2024-01-23,-5.019888499576739,4.054730458033062,2.6573134147310684,2.60104734447498,0.6853606062261084,2.10836470466955,3.7732468918450888,-1.3482440154508988,2.3324900649852416,4.766072180109511,2.281591955622167,3.5416316327040205
2024-01-24,-4.9917709487704975,4.063664273649979,2.669917331406766,2.591079654608972,0.6923134225793657,2.13666557754631,3.7951208432842947,-1.3565883941044758,2.1808792789537996,4.790783619577548,2.2846390668138845,3.5375109947969947
2024-01-25,-4.988938627195606,4.0699929133224,2.657513132105854,2.5600788428295775,0.7436531015128807,2.1079261624402506,3.8036831182932715,-1.3568016068952784,2.2655517059146764,4.837072917392183,2.295569758100141,3.5444654633666017
2024-01-26,-4.942678334304152,4.071255513449736,2.6703860316815264,2.572863552663746,0.7252017841349079,2.077060273191192,3.8061235330818857,-1.3295850181598539,2.2141795466858003,4.7469034536821395,2.287190700308303,3.5422243283634636
2024-01-27,-4.968441855498254,4.068073970870002,2.6644789528085697,2.5788384696222035,0.7386197501353902,2.063280410906694,3.779137201586006,-1.3823157789781295,2.235049457500873,4.7593961409975,2.2760470097558065,3.53127398436428
2024-01-28,-4.983259760796083,4.069169091099894,2.6525843782053506,2.5865856150381537,0.7410262075943415,2.055936186006183,3.8134606686726302,-1.371784394402898,2.2647054019003887,4.777955607548091,2.281682756577455,3.5478305497103744
2024-01-29,-4.975251790206939,4.080227806676274,2.684212337662763,2.5900415082181967,0.7410767879622724,2.0751686989536937,3.797107536312666,-1.348096325329712,2.259290587616948,4.756257315499628,2.3010520557476095,3.53772189235481
2024-01-30,-4.972604648213271,4.098278671058166,2.667905483952917,2.592684711088827,0.7309322923489754,2.04376139246673,3.8049700452118973,-1.3317722152834253,2.262893057667452,4.6926566769757,2.296068390335265,3.5359505215370004
2024-01-31,-4.9777288123837256,4.09641121240225,2.6433338863825186,2.5929847189585304,0.7279880208334248,2.0587056432006574,3.7808785819921216,-1.3448688002337845,2.2806123385880785,4.8078121210003415,2.2841110624909366,3.5444654633666017
2024-02-01,-4.9950621206332855,4.106633503356452,2.6537613977348613,2.595065582985539,0.7146273871588347,2.0291721550759108,3.8151622373818874,-1.3401780687157812,2.2734309609000656,4.829455700333755,2.316978432791961,3.5486235626054943
2024-02-02,-4.977357267136807,4.122159250404978,2.6496764038328537,2.5860189243703795,0.7192954805122183,2.026117964698043,3.8325534659302694,-1.34142967183768,2.269274229723787,4.79083375941338,2.3274271348043993,3.5578020504509804
