ts,middle_bid_price,largest_bid_price,largest_bid_size,largest_bid_size_price,largest_bid_size_value,top_5_bid_size_sum,middle_ask_price,largest_ask_price,largest_ask_size,largest_ask_size_price,largest_ask_size_value,top_5_ask_size_sum,ts_diff
1738022580000,3189.3383885778726,3190.39,585.3,3190.39,585.3,801.88,3192.178670126417,3196.12,0.0,3192.53,121.83,367.3,2.0
1738022585000,3189.698012449978,3190.39,518.72,3190.39,518.72,660.15,3191.9608031728235,3194.46,1.4,3190.4,142.63,376.27,1.0
1738022590000,3188.2486820838626,3189.65,0.0,3187.78,79.84,148.13,3193.1601479897095,3195.99,11.12,3192.9,93.89,241.38,2.0
1738022595000,3188.49027487873,3190.06,0.87,3187.89,82.44,143.1,3192.217395981582,3196.2,2.94,3192.48,35.88,135.6,1.0
1738022600000,3189.5431216657175,3190.39,469.37,3190.39,469.37,655.39,3192.577146602519,3196.12,18.24,3194.83,110.74,336.11,1.0
1738022605000,3186.664046615097,3189.66,0.0,3189.24,456.06,783.5,3191.3847597050826,3195.38,0.0,3192.0,671.03,1208.83,5.0
1738022610000,3188.5088090084087,3190.3,7.44,3187.93,78.38,136.03,3192.9014701902115,3196.38,0.32,3194.78,81.75,307.72,1.0
1738022615000,3187.487590814018,3190.11,1.56,3184.73,85.42,141.1,3191.9421320752344,3196.22,0.78,3191.99,256.05,517.89,1.0
1738022620000,3188.8475019185094,3190.91,0.03,3188.45,89.47,197.57,3192.3519298213437,3196.67,0.05,3192.0,701.8,926.9899999999999,1.0
1738022625000,3189.6635894110213,3191.99,68.34,3191.99,68.34,192.95000000000002,3194.3210476190475,3197.67,0.09,3194.5,84.41,173.09,1.0
1738022630000,3188.6869865346407,3191.75,12.09,3187.4,92.21,263.7,3194.922165050533,3197.35,0.01,3196.8,93.88,235.74,1.0
1738022635000,3191.1029299576476,3192.52,74.91,3189.94,78.32,254.79999999999998,3194.6263787957437,3198.16,0.18,3195.09,82.68,148.89000000000001,2.0
