opentime,openprice,highprice,lowprice,closeprice
1736686800000,2.5074,2.5213,2.5009,2.5104
1736688600000,2.5105,2.5159,2.5032,2.5069
1736690400000,2.5069,2.5108,2.4881,2.4955
1736692200000,2.4956,2.5039,2.4868,2.5014
1736694000000,2.5015,2.5320,2.4935,2.5309
1736695800000,2.5309,2.5320,2.5153,2.5215
1736697600000,2.5215,2.5399,2.5176,2.5390
1736699400000,2.5389,2.5414,2.5265,2.5286
1736701200000,2.5286,2.5377,2.5243,2.5259
1736703000000,2.5260,2.5508,2.5141,2.5403
1736704800000,2.5403,2.5528,2.5294,2.5335
1736706600000,2.5336,2.5443,2.5265,2.5425
1736708400000,2.5425,2.5499,2.5332,2.5489
1736710200000,2.5489,2.5537,2.5369,2.5475
1736712000000,2.5474,2.5479,2.5388,2.5393
1736713800000,2.5393,2.5458,2.5260,2.5402
1736715600000,2.5403,2.5421,2.5129,2.5258
1736717400000,2.5257,2.5303,2.5156,2.5187
1736719200000,2.5186,2.5194,2.4882,2.4976
1736721000000,2.4975,2.5040,2.4909,2.4955
1736722800000,2.4954,2.5024,2.4836,2.4944
1736724600000,2.4945,2.5086,2.4935,2.5031
1736726400000,2.5032,2.5520,2.4975,2.5382
1736728200000,2.5382,2.5630,2.5361,2.5458
1736730000000,2.5457,2.5545,2.5228,2.5493
1736731800000,2.5493,2.5622,2.5187,2.5288
1736733600000,2.5288,2.5325,2.5110,2.5161
1736735400000,2.5160,2.5179,2.4935,2.5151
1736737200000,2.5151,2.5233,2.5046,2.5153
1736739000000,2.5152,2.5389,2.5039,2.5041
1736740800000,2.5041,2.5379,2.4974,2.5334
1736742600000,2.5334,2.5406,2.5159,2.5227
1736744400000,2.5228,2.5248,2.5050,2.5094
1736746200000,2.5094,2.5125,2.4954,2.5098
1736748000000,2.5097,2.5206,2.4902,2.4934
1736749800000,2.4934,2.4956,2.4235,2.4561
1736751600000,2.4560,2.4761,2.4458,2.4721
1736753400000,2.4720,2.4747,2.4534,2.4615
1736755200000,2.4615,2.4636,2.4127,2.4319
1736757000000,2.4319,2.4397,2.4268,2.4373
1736758800000,2.4372,2.4428,2.4167,2.4183
1736760600000,2.4183,2.4518,2.4102,2.4429
1736762400000,2.4428,2.4517,2.4217,2.4294
1736764200000,2.4294,2.4400,2.4107,2.4240
1736766000000,2.4241,2.4252,2.3963,2.4041
1736767800000,2.4041,2.4095,2.3338,2.3374
1736769600000,2.3374,2.3834,2.3309,2.3726
1736771400000,2.3726,2.3889,2.3500,2.3759
1736773200000,2.3759,2.4120,2.3703,2.3928
