date,open,high,low,close,gap_day,next_close,open_change,high_change,low_change,close_change,ma_close_5,ma_close_10,prev_open,prev_high,prev_low,prev_close,daily_range,gap_change,close_ma5_ratio,close_ma10_ratio
2019-09-09,10316.62,10475.54,10077.22,10307.0,1,10102.02,316.6200000000008,62.89000000000124,77.21999999999935,-84.6299999999992,10349.314999999999,10349.314999999999,10000.0,10412.65,10000.0,10391.63,398.3200000000015,-75.0099999999984,0.9959113235996779,0.9959113235996779
2019-09-10,10307.0,10382.97,9940.87,10102.02,1,10159.55,-9.6200000000008,-92.57000000000153,-136.34999999999854,-204.97999999999956,10266.883333333333,10266.883333333333,10316.62,10475.54,10077.22,10307.0,442.09999999999854,0.0,0.9839422219985617,0.9839422219985617
2019-09-11,10094.27,10293.11,9884.31,10159.55,1,10415.13,-212.72999999999956,-89.85999999999876,-56.56000000000131,57.529999999998836,10240.05,10240.05,10307.0,10382.97,9940.87,10102.02,408.8000000000011,-7.75,0.9921387102602038,0.9921387102602038
2019-09-12,10163.06,10450.13,10042.12,10415.13,1,10341.34,68.78999999999905,157.01999999999862,157.8100000000013,255.57999999999993,10275.065999999999,10275.065999999999,10094.27,10293.11,9884.31,10159.55,408.0099999999984,3.5100000000002183,1.0136314452870667,1.0136314452870667
2019-09-13,10414.96,10440.55,10153.51,10341.34,1,10332.25,251.89999999999964,-9.579999999999927,111.38999999999942,-73.78999999999905,10265.007999999998,10286.111666666666,10163.06,10450.13,10042.12,10415.13,287.03999999999905,-0.17000000000007276,1.007436136435549,1.005369213860696
2019-09-14,10343.01,10419.97,10222.77,10332.25,1,10302.22,-71.94999999999891,-20.579999999999927,69.26000000000022,-9.090000000000146,10270.057999999999,10292.702857142856,10414.96,10440.55,10153.51,10341.34,197.1999999999989,1.6700000000000728,1.0060556620030774,1.0038422505153444
2019-09-15,10333.47,10359.2,10024.81,10302.22,1,10249.27,-9.540000000000873,-60.76999999999862,-197.96000000000095,-30.030000000000655,10310.098000000002,10293.8925,10343.01,10419.97,10222.77,10332.25,334.39000000000124,1.2199999999993452,0.9992358947509516,1.0008089748362925
2019-09-16,10302.0,10353.81,10080.7,10249.27,1,10186.52,-31.469999999999345,-5.390000000001237,55.89000000000124,-52.94999999999891,10328.042000000001,10288.934444444445,10333.47,10359.2,10024.81,10302.22,273.10999999999876,-0.21999999999934516,0.9923729977085685,0.9961449414748812
2019-09-17,10257.3,10270.63,10136.77,10186.52,1,10155.16,-44.70000000000073,-83.18000000000029,56.06999999999971,-62.75,10282.320000000002,10278.693000000001,10302.0,10353.81,10080.7,10249.27,133.85999999999876,8.029999999998836,0.9906830365131604,0.9910326147497546
2019-09-18,10183.87,10256.65,10097.92,10155.16,1,10245.3,-73.42999999999847,-13.979999999999563,-38.850000000000364,-31.360000000000582,10245.083999999999,10255.046,10257.3,10270.63,10136.77,10186.52,158.72999999999956,-2.649999999999636,0.9912227171587857,0.9902598194098787
