,USDJPY BGN Curncy,USDJPY BGN Curncy,USDJPY BGN Curncy,USDJPY BGN Curncy,USDJPY BGN Curncy,USDJPY BGN Curncy,USDJPY BGN Curncy,USDJPY BGN Curncy,USDJPY BGN Curncy
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,BID,ASK,PX_MID,high,low
2011-01-03,81.34,81.75,80.93,81.74,81.73,81.74,81.735,81.75,80.93
2011-01-04,81.74,82.28,81.61,82.04,82.03,82.05,82.038,82.28,81.61
2011-01-05,82.04,83.38,81.89,83.25,83.24,83.26,83.248,83.38,81.89
2011-01-06,83.25,83.4,82.88,83.33,83.32,83.34,83.327,83.4,82.88
2011-01-07,83.33,83.68,82.86,83.15,83.13,83.17,83.149,83.68,82.86
2011-01-10,83.11,83.29,82.67,82.71,82.7,82.71,82.705,83.29,82.67
2011-01-11,82.71,83.49,82.68,83.24,83.23,83.25,83.239,83.49,82.68
2011-01-12,83.24,83.47,82.81,83.0,82.99,83.01,83.0,83.47,82.81
2011-01-13,83.0,83.15,82.55,82.81,82.8,82.83,82.815,83.15,82.55
2011-01-14,82.81,83.07,82.41,82.87,82.84,82.89,82.867,83.07,82.41
2011-01-17,82.88,83.01,82.35,82.68,82.66,82.69,82.675,83.01,82.35
2011-01-18,82.68,82.83,82.34,82.56,82.55,82.56,82.555,82.83,82.34
2011-01-19,82.56,82.69,81.85,82.02,82.01,82.03,82.018,82.69,81.85
2011-01-20,82.02,83.13,82.01,83.01,82.99,83.02,83.005,83.13,82.01
2011-01-21,83.0,83.09,82.53,82.57,82.55,82.58,82.566,83.09,82.53
2011-01-24,82.59,82.92,82.31,82.53,82.52,82.53,82.526,82.92,82.31
2011-01-25,82.53,82.67,81.98,82.25,82.24,82.26,82.25,82.67,81.98
2011-01-26,82.25,82.61,81.98,82.17,82.16,82.18,82.171,82.61,81.98
2011-01-27,82.17,83.22,82.02,82.92,82.91,82.93,82.919,83.22,82.02
2011-01-28,82.92,82.93,81.99,82.12,82.1,82.14,82.119,82.93,81.99
2011-01-31,82.05,82.26,81.78,82.04,82.03,82.06,82.045,82.26,81.78
2011-02-01,82.04,82.15,81.31,81.35,81.34,81.36,81.351,82.15,81.31
2011-02-02,81.35,81.86,81.35,81.55,81.54,81.56,81.548,81.86,81.35
2011-02-03,81.55,82.06,81.41,81.63,81.62,81.63,81.627,82.06,81.41
2011-02-04,81.63,82.47,81.13,82.18,82.17,82.2,82.183,82.47,81.13
2011-02-07,82.22,82.47,82.16,82.33,82.32,82.34,82.326,82.47,82.16
2011-02-08,82.33,82.42,81.78,82.36,82.35,82.37,82.364,82.42,81.78
2011-02-09,82.36,82.67,82.2,82.36,82.35,82.36,82.357,82.67,82.2
2011-02-10,82.36,83.37,82.34,83.23,83.22,83.23,83.225,83.37,82.34
2011-02-11,83.23,83.68,83.21,83.43,83.42,83.45,83.433,83.68,83.21
2011-02-14,83.43,83.57,83.1,83.32,83.31,83.34,83.325,83.57,83.1
2011-02-15,83.32,83.92,83.2,83.77,83.76,83.77,83.766,83.92,83.2
2011-02-16,83.77,83.98,83.5,83.68,83.67,83.69,83.681,83.98,83.5
2011-02-17,83.68,83.75,83.16,83.31,83.3,83.32,83.312,83.75,83.16
2011-02-18,83.31,83.53,83.03,83.18,83.17,83.2,83.184,83.53,83.03
2011-02-21,83.05,83.27,83.02,83.14,83.13,83.15,83.14,83.27,83.02
2011-02-22,83.14,83.54,82.58,82.77,82.76,82.78,82.77,83.54,82.58
2011-02-23,82.77,82.89,82.32,82.51,82.5,82.52,82.512,82.89,82.32
2011-02-24,82.51,82.52,81.63,81.89,81.88,81.9,81.892,82.52,81.63
2011-02-25,81.89,82.07,81.64,81.68,81.65,81.7,81.676,82.07,81.64
2011-02-28,81.7,81.98,81.62,81.78,81.77,81.79,81.78,81.98,81.62
2011-03-01,81.78,82.24,81.74,81.86,81.85,81.86,81.857,82.24,81.74
2011-03-02,81.86,82.11,81.57,81.87,81.87,81.88,81.87,82.11,81.57
2011-03-03,81.87,82.52,81.73,82.45,82.44,82.45,82.445,82.52,81.73
2011-03-04,82.45,83.07,82.21,82.32,82.3,82.34,82.316,83.07,82.21
2011-03-07,82.29,82.4,81.95,82.24,82.23,82.24,82.237,82.4,81.95
2011-03-08,82.24,82.86,82.21,82.67,82.66,82.68,82.668,82.86,82.21
2011-03-09,82.67,82.94,82.58,82.74,82.73,82.75,82.74,82.94,82.58
2011-03-10,82.74,83.17,82.7,82.98,82.98,82.99,82.983,83.17,82.7
2011-03-11,82.98,83.3,81.66,81.84,81.79,81.9,81.845,83.3,81.66
2011-03-14,81.74,82.45,80.62,81.63,81.62,81.64,81.63,82.45,80.62
2011-03-15,81.63,82.01,80.61,80.72,80.71,80.73,80.722,82.01,80.61
2011-03-16,80.72,81.17,79.57,79.59,79.58,79.6,79.59,81.17,79.57
2011-03-17,79.59,79.75,76.25,78.89,78.88,78.91,78.894,79.75,76.25
2011-03-18,78.89,81.99,78.83,80.58,80.57,80.6,80.584,81.99,78.83
2011-03-21,80.79,81.32,80.69,81.03,81.01,81.04,81.025,81.32,80.69
2011-03-22,81.03,81.29,80.85,80.97,80.97,80.98,80.972,81.29,80.85
2011-03-23,80.97,81.07,80.7,80.92,80.91,80.92,80.916,81.07,80.7
2011-03-24,80.92,81.06,80.77,80.97,80.97,80.98,80.974,81.06,80.77
2011-03-25,80.97,81.49,80.87,81.34,81.31,81.37,81.343,81.49,80.87
2011-03-28,81.42,81.85,81.31,81.69,81.69,81.7,81.695,81.85,81.31
2011-03-29,81.7,82.48,81.55,82.48,82.47,82.48,82.475,82.48,81.55
2011-03-30,82.48,83.18,82.37,82.89,82.88,82.9,82.888,83.18,82.37
2011-03-31,82.89,83.22,82.57,83.13,83.12,83.14,83.129,83.22,82.57
2011-04-01,83.13,84.73,83.13,84.06,84.05,84.08,84.063,84.73,83.13
2011-04-04,84.19,84.38,83.86,84.06,84.05,84.07,84.059,84.38,83.86
2011-04-05,84.06,84.88,84.03,84.87,84.86,84.87,84.866,84.88,84.03
2011-04-06,84.87,85.53,84.84,85.49,85.48,85.5,85.489,85.53,84.84
2011-04-07,85.49,85.5,84.59,84.91,84.9,84.92,84.91,85.5,84.59
2011-04-08,84.91,85.39,84.68,84.76,84.73,84.8,84.764,85.39,84.68
2011-04-11,84.9,85.16,84.51,84.6,84.59,84.61,84.6,85.16,84.51
2011-04-12,84.6,84.79,83.47,83.58,83.56,83.6,83.58,84.79,83.47
2011-04-13,83.58,84.26,83.51,83.84,83.83,83.85,83.839,84.26,83.51
2011-04-14,83.84,83.94,82.96,83.5,83.49,83.51,83.498,83.94,82.96
2011-04-15,83.5,83.78,82.96,83.13,83.11,83.15,83.132,83.78,82.96
2011-04-18,83.21,83.27,82.19,82.66,82.65,82.68,82.661,83.27,82.19
2011-04-19,82.66,82.76,82.32,82.59,82.58,82.59,82.586,82.76,82.32
2011-04-20,82.59,83.1,82.26,82.56,82.55,82.56,82.557,83.1,82.26
2011-04-21,82.56,82.6,81.62,81.85,81.84,81.86,81.852,82.6,81.62
2011-04-22,81.85,82.11,81.67,81.88,81.82,81.95,81.885,82.11,81.67
2011-04-25,81.87,82.43,81.67,81.83,81.83,81.84,81.834,82.43,81.67
2011-04-26,81.83,81.98,81.49,81.55,81.55,81.56,81.553,81.98,81.49
2011-04-27,81.55,82.79,81.27,82.16,82.14,82.17,82.157,82.79,81.27
2011-04-28,82.16,82.28,81.4,81.54,81.53,81.55,81.536,82.28,81.4
2011-04-29,81.53,81.66,81.05,81.19,81.18,81.2,81.192,81.66,81.05
2011-05-02,81.23,81.69,81.0,81.23,81.22,81.24,81.225,81.69,81.0
2011-05-03,81.22,81.28,80.7,80.94,80.93,80.95,80.939,81.28,80.7
2011-05-04,80.94,81.19,80.44,80.61,80.6,80.63,80.614,81.19,80.44
2011-05-05,80.61,80.69,79.57,80.07,80.07,80.08,80.075,80.69,79.57
2011-05-06,80.07,80.94,80.06,80.63,80.62,80.65,80.633,80.94,80.06
2011-05-09,80.63,80.85,80.19,80.36,80.35,80.37,80.361,80.85,80.19
2011-05-10,80.36,80.91,80.16,80.88,80.87,80.9,80.883,80.91,80.16
2011-05-11,80.88,81.33,80.62,81.05,81.04,81.06,81.047,81.33,80.62
2011-05-12,81.05,81.34,80.71,80.94,80.93,80.95,80.938,81.34,80.71
2011-05-13,80.94,81.09,80.34,80.8,80.75,80.84,80.795,81.09,80.34
2011-05-16,80.74,81.07,80.64,80.79,80.79,80.8,80.79,81.07,80.64
2011-05-17,80.79,81.77,80.74,81.42,81.41,81.42,81.415,81.77,80.74
2011-05-18,81.41,81.73,80.94,81.68,81.68,81.69,81.684,81.73,80.94
2011-05-19,81.69,82.23,81.47,81.61,81.6,81.62,81.608,82.23,81.47
2011-05-20,81.61,81.87,81.48,81.7,81.66,81.75,81.704,81.87,81.48
2011-05-23,81.71,82.04,81.32,82.01,82.0,82.01,82.005,82.04,81.32
2011-05-24,82.01,82.21,81.62,81.95,81.95,81.96,81.954,82.21,81.62
2011-05-25,81.95,82.17,81.8,81.97,81.97,81.98,81.971,82.17,81.8
2011-05-26,81.97,82.09,81.16,81.29,81.28,81.3,81.287,82.09,81.16
2011-05-27,81.29,81.42,80.7,80.8,80.76,80.84,80.799,81.42,80.7
2011-05-30,81.02,81.02,80.72,80.94,80.92,80.96,80.939,81.02,80.72
2011-05-31,80.94,81.77,80.72,81.52,81.51,81.53,81.521,81.77,80.72
2011-06-01,81.52,81.57,80.68,80.95,80.94,80.96,80.951,81.57,80.68
2011-06-02,80.95,81.33,80.57,80.9,80.89,80.9,80.895,81.33,80.57
2011-06-03,80.9,81.01,80.05,80.34,80.25,80.42,80.337,81.01,80.05
2011-06-06,80.38,80.4,79.98,80.1,80.09,80.11,80.101,80.4,79.98
2011-06-07,80.1,80.33,79.98,80.09,80.09,80.1,80.091,80.33,79.98
2011-06-08,80.09,80.28,79.7,79.89,79.89,79.9,79.895,80.28,79.7
2011-06-09,79.89,80.42,79.84,80.36,80.36,80.37,80.365,80.42,79.84
2011-06-10,80.36,80.47,79.97,80.32,80.3,80.35,80.323,80.47,79.97
2011-06-13,80.25,80.69,80.12,80.24,80.23,80.25,80.242,80.69,80.12
2011-06-14,80.24,80.63,80.09,80.49,80.48,80.5,80.49,80.63,80.09
2011-06-15,80.49,81.06,80.38,80.96,80.94,80.98,80.957,81.06,80.38
2011-06-16,80.96,81.06,80.49,80.63,80.62,80.64,80.628,81.06,80.49
2011-06-17,80.62,80.68,80.01,80.05,80.02,80.08,80.046,80.68,80.01
2011-06-20,80.25,80.37,80.03,80.25,80.25,80.26,80.254,80.37,80.03
2011-06-21,80.25,80.35,80.05,80.21,80.2,80.22,80.212,80.35,80.05
2011-06-22,80.21,80.39,80.02,80.29,80.29,80.3,80.293,80.39,80.02
2011-06-23,80.29,80.8,80.29,80.51,80.5,80.52,80.512,80.8,80.29
2011-06-24,80.51,80.61,80.14,80.43,80.4,80.45,80.426,80.61,80.14
2011-06-27,80.4,80.98,80.29,80.89,80.88,80.91,80.893,80.98,80.29
2011-06-28,80.89,81.27,80.66,81.12,81.12,81.13,81.123,81.27,80.66
2011-06-29,81.12,81.19,80.56,80.78,80.77,80.79,80.778,81.19,80.56
2011-06-30,80.78,80.87,80.27,80.56,80.55,80.57,80.562,80.87,80.27
2011-07-01,80.57,81.15,80.5,80.83,80.82,80.84,80.828,81.15,80.5
2011-07-04,80.93,80.97,80.54,80.8,80.78,80.82,80.8,80.97,80.54
2011-07-05,80.8,81.19,80.71,81.07,81.06,81.08,81.07,81.19,80.71
2011-07-06,81.07,81.12,80.77,80.91,80.91,80.92,80.914,81.12,80.77
2011-07-07,80.91,81.41,80.8,81.25,81.23,81.26,81.245,81.41,80.8
2011-07-08,81.25,81.48,80.5,80.64,80.62,80.65,80.635,81.48,80.5
2011-07-11,80.55,80.83,80.11,80.26,80.25,80.27,80.263,80.83,80.11
2011-07-12,80.26,80.38,79.17,79.24,79.23,79.25,79.239,80.38,79.17
2011-07-13,79.24,79.58,78.5,78.98,78.96,79.0,78.977,79.58,78.5
2011-07-14,78.98,79.61,78.47,79.14,79.13,79.15,79.141,79.61,78.47
2011-07-15,79.14,79.28,78.89,79.13,79.12,79.14,79.13,79.28,78.89
2011-07-18,79.26,79.3,78.95,79.04,79.04,79.04,79.04,79.3,78.95
2011-07-19,79.04,79.28,78.82,79.18,79.17,79.19,79.18,79.28,78.82
2011-07-20,79.18,79.32,78.71,78.78,78.77,78.79,78.778,79.32,78.71
2011-07-21,78.78,79.03,78.29,78.3,78.29,78.31,78.301,79.03,78.29
2011-07-22,78.3,78.73,78.22,78.54,78.53,78.55,78.542,78.73,78.22
2011-07-25,78.53,78.56,78.06,78.29,78.27,78.31,78.29,78.56,78.06
2011-07-26,78.29,78.7,77.83,77.88,77.88,77.89,77.885,78.7,77.83
2011-07-27,77.89,78.17,77.57,77.98,77.97,77.98,77.976,78.17,77.57
2011-07-28,77.98,78.03,77.63,77.67,77.66,77.69,77.674,78.03,77.63
2011-07-29,77.67,77.87,76.73,76.76,76.73,76.8,76.765,77.87,76.73
2011-08-01,76.65,78.05,76.3,77.21,77.21,77.22,77.212,78.05,76.3
2011-08-02,77.21,77.82,76.96,77.15,77.11,77.18,77.147,77.82,76.96
2011-08-03,77.15,77.4,76.78,77.06,77.05,77.07,77.06,77.4,76.78
2011-08-04,77.06,80.24,76.97,78.89,78.88,78.9,78.886,80.24,76.97
2011-08-05,78.89,79.41,78.32,78.4,78.38,78.42,78.4,79.41,78.32
2011-08-08,77.9,78.47,77.5,77.77,77.76,77.77,77.766,78.47,77.5
2011-08-09,77.77,77.86,76.71,76.96,76.95,76.97,76.96,77.86,76.71
2011-08-10,76.96,77.31,76.35,76.86,76.85,76.87,76.86,77.31,76.35
2011-08-11,76.86,77.23,76.31,76.84,76.83,76.85,76.842,77.23,76.31
2011-08-12,76.84,77.02,76.51,76.71,76.68,76.75,76.715,77.02,76.51
2011-08-15,76.77,77.1,76.59,76.83,76.81,76.85,76.831,77.1,76.59
2011-08-16,76.83,76.93,76.66,76.8,76.79,76.81,76.8,76.93,76.66
2011-08-17,76.8,76.84,76.41,76.6,76.59,76.61,76.602,76.84,76.41
2011-08-18,76.6,76.72,76.45,76.58,76.57,76.59,76.582,76.72,76.45
2011-08-19,76.58,76.95,75.95,76.55,76.53,76.56,76.546,76.95,75.95
2011-08-22,76.35,77.21,76.34,76.79,76.78,76.8,76.79,77.21,76.34
2011-08-23,76.79,76.94,76.47,76.66,76.64,76.67,76.66,76.94,76.47
2011-08-24,76.66,77.08,76.48,76.98,76.97,76.99,76.98,77.08,76.48
2011-08-25,76.98,77.7,76.84,77.46,77.45,77.47,77.464,77.7,76.84
2011-08-26,77.46,77.52,76.51,76.64,76.55,76.74,76.645,77.52,76.51
2011-08-29,76.89,77.02,76.58,76.83,76.83,76.84,76.834,77.02,76.58
2011-08-30,76.83,76.98,76.63,76.74,76.73,76.75,76.738,76.98,76.63
2011-08-31,76.74,76.84,76.43,76.66,76.65,76.67,76.659,76.84,76.43
2011-09-01,76.66,77.24,76.58,76.93,76.92,76.94,76.928,77.24,76.58
2011-09-02,76.93,76.97,76.55,76.8,76.77,76.83,76.802,76.97,76.55
2011-09-05,76.82,76.98,76.69,76.89,76.87,76.91,76.889,76.98,76.69
2011-09-06,76.89,77.73,76.72,77.66,77.64,77.67,77.66,77.73,76.72
2011-09-07,77.66,77.71,77.07,77.26,77.24,77.27,77.257,77.71,77.07
2011-09-08,77.26,77.6,77.14,77.51,77.49,77.51,77.505,77.6,77.14
2011-09-09,77.51,77.86,77.1,77.61,77.57,77.65,77.611,77.86,77.1
2011-09-12,77.67,77.68,76.76,77.21,77.18,77.24,77.212,77.68,76.76
2011-09-13,77.21,77.25,76.81,76.96,76.93,76.99,76.96,77.25,76.81
2011-09-14,76.96,77.07,76.6,76.62,76.61,76.63,76.624,77.07,76.6
2011-09-15,76.62,77.28,76.56,76.7,76.69,76.71,76.699,77.28,76.56
2011-09-16,76.7,76.97,76.66,76.79,76.76,76.83,76.795,76.97,76.66
2011-09-19,76.86,77.0,76.33,76.58,76.55,76.61,76.582,77.0,76.33
2011-09-20,76.58,76.76,76.36,76.45,76.44,76.46,76.451,76.76,76.36
2011-09-21,76.45,76.74,76.12,76.46,76.44,76.47,76.459,76.74,76.12
2011-09-22,76.46,76.97,76.11,76.24,76.22,76.27,76.243,76.97,76.11
2011-09-23,76.24,76.89,76.15,76.61,76.57,76.65,76.608,76.89,76.15
2011-09-26,76.42,76.76,76.23,76.36,76.35,76.37,76.359,76.76,76.23
2011-09-27,76.36,76.93,76.27,76.81,76.81,76.82,76.814,76.93,76.27
2011-09-28,76.81,76.88,76.34,76.61,76.6,76.62,76.608,76.88,76.34
2011-09-29,76.61,77.02,76.41,76.83,76.83,76.84,76.835,77.02,76.41
2011-09-30,76.83,77.2,76.5,77.06,77.03,77.09,77.063,77.2,76.5
2011-10-03,77.08,77.27,76.51,76.63,76.62,76.64,76.629,77.27,76.51
2011-10-04,76.63,76.98,76.53,76.81,76.8,76.82,76.808,76.98,76.53
2011-10-05,76.81,77.07,76.62,76.79,76.79,76.8,76.794,77.07,76.62
2011-10-06,76.79,76.84,76.57,76.72,76.71,76.73,76.719,76.84,76.57
2011-10-07,76.72,76.91,76.59,76.73,76.71,76.75,76.729,76.91,76.59
2011-10-10,76.96,76.96,76.57,76.68,76.65,76.7,76.677,76.96,76.57
2011-10-11,76.68,76.76,76.6,76.65,76.64,76.66,76.65,76.76,76.6
2011-10-12,76.65,77.49,76.31,77.26,77.24,77.28,77.262,77.49,76.31
2011-10-13,77.26,77.29,76.68,76.9,76.88,76.91,76.896,77.29,76.68
2011-10-14,76.9,77.45,76.83,77.22,77.2,77.24,77.219,77.45,76.83
2011-10-17,77.24,77.45,76.6,76.83,76.82,76.84,76.831,77.45,76.6
2011-10-18,76.83,76.91,76.63,76.82,76.81,76.83,76.822,76.91,76.63
2011-10-19,76.82,76.86,76.66,76.81,76.8,76.82,76.81,76.86,76.66
2011-10-20,76.81,77.09,76.68,76.8,76.79,76.82,76.805,77.09,76.68
2011-10-21,76.8,76.92,75.82,76.29,76.26,76.31,76.286,76.92,75.82
2011-10-24,76.4,76.49,75.99,76.1,76.09,76.11,76.1,76.49,75.99
2011-10-25,76.1,76.3,75.74,76.09,76.06,76.12,76.09,76.3,75.74
2011-10-26,76.09,76.32,75.72,76.18,76.16,76.2,76.179,76.32,75.72
2011-10-27,76.18,76.29,75.66,75.95,75.93,75.96,75.946,76.29,75.66
2011-10-28,75.95,76.0,75.68,75.82,75.79,75.85,75.824,76.0,75.68
2011-10-31,75.61,79.53,75.35,78.17,78.16,78.18,78.17,79.53,75.35
2011-11-01,78.17,78.98,78.02,78.37,78.35,78.39,78.373,78.98,78.02
2011-11-02,78.37,78.42,77.94,78.05,78.04,78.06,78.047,78.42,77.94
2011-11-03,78.05,78.16,77.89,78.06,78.05,78.07,78.057,78.16,77.89
2011-11-04,78.06,78.27,77.99,78.24,78.22,78.26,78.24,78.27,77.99
2011-11-07,78.19,78.23,77.99,78.05,78.04,78.06,78.048,78.23,77.99
2011-11-08,78.05,78.1,77.6,77.73,77.71,77.74,77.727,78.1,77.6
2011-11-09,77.73,77.89,77.54,77.82,77.81,77.83,77.819,77.89,77.54
2011-11-10,77.82,77.87,77.51,77.65,77.64,77.66,77.649,77.87,77.51
2011-11-11,77.65,77.68,77.05,77.2,77.09,77.32,77.204,77.68,77.05
2011-11-14,77.18,77.29,76.82,77.07,77.06,77.09,77.073,77.29,76.82
2011-11-15,77.07,77.5,76.91,77.03,77.02,77.04,77.03,77.5,76.91
2011-11-16,77.03,77.15,76.86,77.06,77.05,77.07,77.057,77.15,76.86
2011-11-17,77.06,77.09,76.92,76.98,76.96,77.0,76.982,77.09,76.92
2011-11-18,76.98,77.03,76.58,76.91,76.82,77.0,76.908,77.03,76.58
2011-11-21,76.86,76.99,76.73,76.89,76.88,76.9,76.888,76.99,76.73
2011-11-22,76.89,77.33,76.84,76.97,76.96,76.98,76.973,77.33,76.84
2011-11-23,76.97,77.58,76.93,77.31,77.29,77.33,77.308,77.58,76.93
2011-11-24,77.31,77.34,77.01,77.12,77.1,77.14,77.116,77.34,77.01
2011-11-25,77.12,77.79,77.1,77.73,77.7,77.77,77.733,77.79,77.1
2011-11-28,77.7,78.24,77.46,77.98,77.95,78.0,77.977,78.24,77.46
2011-11-29,77.98,78.29,77.62,77.93,77.91,77.94,77.925,78.29,77.62
2011-11-30,77.92,78.16,77.3,77.62,77.61,77.63,77.62,78.16,77.3
2011-12-01,77.62,77.81,77.49,77.7,77.69,77.72,77.703,77.81,77.49
2011-12-02,77.7,78.08,77.69,77.99,77.94,78.03,77.987,78.08,77.69
2011-12-05,77.93,78.11,77.69,77.82,77.81,77.83,77.821,78.11,77.69
2011-12-06,77.82,77.86,77.64,77.73,77.72,77.74,77.729,77.86,77.64
2011-12-07,77.73,77.79,77.63,77.68,77.66,77.7,77.68,77.79,77.63
2011-12-08,77.68,77.79,77.13,77.64,77.62,77.65,77.638,77.79,77.13
2011-12-09,77.64,77.78,77.49,77.65,77.57,77.72,77.646,77.78,77.49
2011-12-12,77.59,78.0,77.56,77.94,77.9,77.97,77.937,78.0,77.56
2011-12-13,77.94,78.02,77.64,78.0,77.98,78.01,77.997,78.02,77.64
2011-12-14,78.0,78.16,77.92,78.07,78.07,78.08,78.074,78.16,77.92
2011-12-15,78.07,78.14,77.74,77.86,77.85,77.86,77.856,78.14,77.74
2011-12-16,77.86,77.96,77.62,77.76,77.74,77.78,77.761,77.96,77.62
2011-12-19,77.78,78.17,77.71,78.05,78.04,78.05,78.046,78.17,77.71
2011-12-20,78.05,78.06,77.72,77.89,77.88,77.9,77.887,78.06,77.72
2011-12-21,77.89,78.11,77.69,78.06,78.05,78.07,78.061,78.11,77.69
2011-12-22,78.06,78.2,78.0,78.17,78.16,78.18,78.168,78.2,78.0
2011-12-23,78.17,78.23,78.01,78.09,78.05,78.13,78.088,78.23,78.01
2011-12-26,78.11,78.14,77.88,77.98,77.95,78.0,77.975,78.14,77.88
2011-12-27,77.97,78.03,77.8,77.88,77.87,77.89,77.88,78.03,77.8
2011-12-28,77.88,78.04,77.57,77.94,77.93,77.95,77.943,78.04,77.57
2011-12-29,77.94,77.99,77.6,77.64,77.62,77.65,77.637,77.99,77.6
2011-12-30,77.64,77.74,76.89,76.91,76.86,76.96,76.913,77.74,76.89
2012-01-02,76.84,77.17,76.33,76.9,76.88,76.91,76.895,77.17,76.33
2012-01-03,76.9,76.97,76.63,76.74,76.73,76.74,76.736,76.97,76.63
2012-01-04,76.74,76.83,76.61,76.72,76.7,76.74,76.719,76.83,76.61
2012-01-05,76.72,77.25,76.66,77.12,77.1,77.13,77.116,77.25,76.66
2012-01-06,77.12,77.34,76.96,76.97,76.95,76.98,76.968,77.34,76.96
2012-01-09,76.99,77.03,76.77,76.86,76.8,76.91,76.855,77.03,76.77
2012-01-10,76.86,76.91,76.78,76.85,76.84,76.86,76.848,76.91,76.78
2012-01-11,76.85,77.04,76.82,76.85,76.85,76.86,76.854,77.04,76.82
2012-01-12,76.85,76.98,76.67,76.76,76.75,76.77,76.76,76.98,76.67
2012-01-13,76.76,77.01,76.66,76.97,76.95,76.99,76.967,77.01,76.66
2012-01-16,76.91,77.13,76.7,76.78,76.77,76.79,76.783,77.13,76.7
2012-01-17,76.78,76.88,76.55,76.83,76.82,76.84,76.831,76.88,76.55
2012-01-18,76.83,76.87,76.66,76.82,76.81,76.84,76.825,76.87,76.66
2012-01-19,76.83,77.32,76.7,77.11,77.1,77.12,77.108,77.32,76.7
2012-01-20,77.11,77.31,76.92,77.01,76.97,77.05,77.011,77.31,76.92
2012-01-23,76.99,77.08,76.87,77.02,77.02,77.03,77.023,77.08,76.87
2012-01-24,77.02,77.85,76.96,77.67,77.66,77.67,77.668,77.85,76.96
2012-01-25,77.67,78.28,77.56,77.78,77.77,77.79,77.781,78.28,77.56
2012-01-26,77.78,77.82,77.29,77.45,77.44,77.46,77.449,77.82,77.29
2012-01-27,77.45,77.49,76.65,76.7,76.66,76.73,76.697,77.49,76.65
2012-01-30,76.7,76.78,76.22,76.35,76.34,76.36,76.348,76.78,76.22
2012-01-31,76.35,76.42,76.16,76.27,76.26,76.27,76.266,76.42,76.16
2012-02-01,76.27,76.35,76.03,76.2,76.19,76.2,76.196,76.35,76.03
2012-02-02,76.2,76.24,76.05,76.22,76.21,76.23,76.22,76.24,76.05
2012-02-03,76.22,76.74,76.14,76.6,76.55,76.65,76.602,76.74,76.14
2012-02-06,76.62,76.8,76.49,76.55,76.54,76.56,76.55,76.8,76.49
2012-02-07,76.55,76.97,76.52,76.76,76.76,76.77,76.765,76.97,76.52
2012-02-08,76.76,77.19,76.71,77.04,77.03,77.05,77.038,77.19,76.71
2012-02-09,77.04,77.73,77.02,77.67,77.66,77.68,77.667,77.73,77.02
2012-02-10,77.67,77.81,77.52,77.61,77.58,77.64,77.612,77.81,77.52
2012-02-13,77.68,77.78,77.39,77.57,77.56,77.58,77.572,77.78,77.39
2012-02-14,77.57,78.54,77.36,78.44,78.42,78.45,78.437,78.54,77.36
2012-02-15,78.44,78.66,78.18,78.43,78.43,78.44,78.432,78.66,78.18
2012-02-16,78.43,78.97,78.36,78.94,78.93,78.94,78.935,78.97,78.36
2012-02-17,78.94,79.62,78.8,79.55,79.53,79.58,79.555,79.62,78.8
2012-02-20,79.42,79.89,79.36,79.63,79.63,79.64,79.634,79.89,79.36
2012-02-21,79.63,79.85,79.55,79.74,79.73,79.75,79.74,79.85,79.55
2012-02-22,79.74,80.4,79.68,80.29,80.28,80.3,80.294,80.4,79.68
2012-02-23,80.29,80.35,79.86,80.0,79.99,80.0,79.997,80.35,79.86
2012-02-24,80.0,81.22,79.93,81.2,81.17,81.22,81.196,81.22,79.93
2012-02-27,81.13,81.67,80.13,80.61,80.6,80.62,80.607,81.67,80.13
2012-02-28,80.61,80.79,80.02,80.46,80.45,80.47,80.462,80.79,80.02
2012-02-29,80.46,81.31,80.25,81.15,81.14,81.16,81.149,81.31,80.25
2012-03-01,81.15,81.39,80.84,81.12,81.11,81.12,81.115,81.39,80.84
2012-03-02,81.12,81.87,81.06,81.81,81.78,81.83,81.806,81.87,81.06
2012-03-05,81.81,81.87,81.16,81.56,81.55,81.57,81.559,81.87,81.16
2012-03-06,81.56,81.59,80.59,80.89,80.88,80.91,80.895,81.59,80.59
2012-03-07,80.89,81.22,80.59,81.09,81.08,81.1,81.091,81.22,80.59
2012-03-08,81.09,81.73,81.08,81.56,81.54,81.57,81.555,81.73,81.08
2012-03-09,81.56,82.65,81.47,82.46,82.44,82.48,82.462,82.65,81.47
2012-03-12,82.43,82.57,82.11,82.23,82.22,82.24,82.232,82.57,82.11
2012-03-13,82.23,83.09,81.97,82.94,82.93,82.95,82.943,83.09,81.97
2012-03-14,82.94,83.83,82.87,83.73,83.72,83.74,83.731,83.83,82.87
2012-03-15,83.73,84.18,83.2,83.57,83.57,83.58,83.573,84.18,83.2
2012-03-16,83.57,83.94,83.19,83.43,83.42,83.45,83.435,83.94,83.19
2012-03-19,83.36,83.57,83.02,83.35,83.34,83.36,83.348,83.57,83.02
2012-03-20,83.35,83.83,83.32,83.7,83.69,83.72,83.703,83.83,83.32
2012-03-21,83.7,84.1,83.3,83.41,83.4,83.42,83.407,84.1,83.3
2012-03-22,83.41,83.47,82.33,82.54,82.52,82.55,82.536,83.47,82.33
2012-03-23,82.54,82.95,81.98,82.35,82.32,82.39,82.353,82.95,81.98
2012-03-26,82.45,83.0,82.33,82.82,82.81,82.84,82.825,83.0,82.33
