date,daily_open,daily_high,daily_low,daily_close,total_volume,total_quote_volume,avg_vwap,avg_trade_size,avg_trade_count_change,avg_taker_buy_volume_ratio,daily_volume_change,avg_buy_sell_volume_imbalance,avg_relative_volume,avg_volume_volatility,count_volume_spikes,avg_price_to_volume_ratio,total_trades,avg_taker_buy_volume_change
2020-04-17,13662.0,16000.0,3123.0,15503.0,117773.22,1745740644.48,4184.960047168783,16.010277116371906,-0.016722408026755852,0.11030311922991072,-1.6779765886287614,69.92991638795986,0.6346906053497157,109.43921039522348,176,676.275536152335,1673,-0.018143812709030663
2020-04-18,15503.0,15690.0,15367.0,15367.0,13578.59,211480406.44,1576.0904290402823,5.127960772156085,0.0,0.020951819488358794,0.0,8.901229166666667,0.3513299647708668,17.100600151244254,110,210.21287748333566,282,0.0
2020-04-19,15367.0,15698.0,15367.0,15415.0,7616.110000000001,118448104.55,1512.1337699607516,2.620805539021164,0.0,0.02057493395524974,0.0,5.0846875,0.2642884007317536,8.442812045304153,77,169.5952752372806,283,0.0
2020-04-20,15421.0,15899.0,15410.0,15485.0,14347.61,223115274.82,929.9999321692989,4.010585893658811,0.0,0.027480746494321803,3.947459643111668e-17,8.322229166666666,0.24867885712686724,19.744688704769374,76,59.72380890909605,185,0.0
2020-04-21,15485.0,15993.0,15440.0,15911.0,9698.539999999999,151745209.14000002,750.737316276385,2.4468919064153436,0.001388888888888889,0.02121025054024589,0.015034722222222142,6.272625,0.18149234686629892,13.00814216239723,56,375.9559116135397,161,-7.894919286223336e-17
2020-04-22,15911.0,15921.0,15460.0,15749.0,14074.26,220429693.41,1064.9689628362976,3.414342055224868,-0.001388888888888889,0.03247142257884131,-0.015034722222222276,8.585583333333334,0.21102228232270706,14.075487494923706,70,1207.2940066783578,245,0.0
2020-04-23,15749.0,15749.0,15422.0,15720.0,8988.69,140038786.44,865.2738544422214,2.5230516872594997,0.0,0.022613435336534402,0.0,5.771006944444444,0.23419304400797608,12.38682225530798,72,104.77783338710583,167,0.0
2020-04-24,15720.0,15720.0,15381.0,15458.0,35088.1,544478344.61,2348.3501028450255,15.425528276565256,0.0,0.04553266483386703,0.0,23.14213888888889,0.47168040320010174,36.52081829321784,166,1267.1080911043039,421,0.0
2020-04-25,15458.0,15600.0,15297.0,15511.0,22929.46,354524361.0,1510.9954716190355,7.546148870431894,0.0,0.06484986639851024,0.0,14.692527131782946,0.30273041061056627,32.066696440894475,85,142.6829085135788,323,0.0
2020-04-26,15511.0,15511.0,15240.0,15276.0,5490.65,84347387.02,651.0318205820694,2.462620105820106,0.0006944444444444445,0.015308970025613593,0.06230555555555555,3.762826388888889,0.17982589297844184,7.922156513176544,55,58.08465627824391,98,0.0
2020-04-27,15275.0,15536.0,15161.0,15500.0,38297.79,587952054.64,2667.57185566904,8.722222106481482,-0.0006944444444444445,0.13462480448561995,-0.06230555555555573,24.150006944444446,0.3748963836685118,33.336957472592516,109,164.2900724996218,681,-2.3684757858670006e-16
2020-04-28,15500.0,15675.0,15270.0,15438.0,13425.85,207791954.6,739.2445337575236,2.2771179108796296,0.0,0.026646628762968128,0.0,5.545159722222222,0.2054260568556766,16.778832336640775,63,1162.015357322912,151,-1.5789838572446671e-16
2020-04-29,15438.0,15438.0,15136.0,15218.0,18475.93,282683402.63,765.5815113861531,6.283663657407407,0.0,0.022916666666666665,0.0,12.830506944444444,0.2128641351354554,27.96996670043672,64,70.11290126510272,119,0.0
2020-04-30,15218.0,15345.0,14896.0,15071.0,23977.19,362415701.45,1739.2384397201254,7.767189583333334,0.0,0.05566206636659435,0.0,15.4078125,0.35819211567911274,27.059328170111282,115,144.0392359057442,312,0.0
2020-05-01,15071.0,15284.0,14750.0,14750.0,57863.63,867421248.34,2988.675799493897,21.579628042328043,0.0,0.079295502432757,-1.5789838572446671e-16,38.03557638888889,0.49378093637407705,51.63043605626902,166,169.66294697746235,564,-1.5789838572446671e-16
2020-05-02,14750.0,14912.0,14641.0,14777.0,11253.08,166380112.25,820.3844823092735,3.5605914173789177,0.0,0.024968618608098687,0.0,7.772,0.23061626539869667,14.919891753772085,71,99.04300770479304,134,0.0
2020-05-03,14777.0,14853.0,14688.0,14800.0,17874.68,263344382.67,1168.052330984701,8.500899846681097,0.0,0.048434737835264384,0.0,10.977291666666666,0.2866120985399391,23.61559212893929,88,133.91780358898112,205,0.0
2020-05-04,14800.0,15246.0,14799.0,15177.0,11436.89,172454252.71,1718.8692559449496,3.9283639715608465,0.0,0.0656521011368597,-9.86864910777917e-18,7.0154375,0.36235245485742124,12.592200408724148,119,714.8152095887796,321,-9.86864910777917e-18
